"Marché_National_Produit";"Catégorie_Produit";"Type_Produit";"Code_Référence";"Date_Dernière_Mise_A_Jour_Du_Dossier";"Nom_Marque_Produit";"Nom_Sous-type_Marque_Produit";"Filtre_Produit";"Unités_Conditionnement_Produit";"Type_Conditionnement_Produit";"Type_Numéro_Produit";"Numéro_Produit";"Date_Notification";"Date_Lancement_Produit";"Longueur_Produit";"Diamètre_Produit";"Poids_Produit";"Poids_Tabac_Produit";"Longueur_Filtre_Produit";"Ventilation_Filtre_Cigarette";"Baisse_Pression_Filtre_Cigarette_Fermé";"Baisse_Pression_Filtre_Cigarette_Ouvert";"Émission_Goudron";"Émission_Nicotine";"Émission_CO"
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D586A4B08BB48D08]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"62984";29/4/2019 16:23:22;24/6/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D68EF4AA991B7F6F]";"21/08/2020 12:58:00";"News Rouge";"News Rouge";"filtre";600.00;"Emballage multiple";"SKU";"55228";13/3/2017 15:38:00;20/5/2016 00:00:00;83.00;7.80;835.00;600.00;21.00;26.00;110.00;86.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D6FE65922621BC4A]";"16/09/2020 11:22:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55375";5/2/2019 16:07:11;4/6/2020 00:00:00;83.00;7.80;819.00;576.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D701BE0291BCD6CB]";"01/07/2020 14:50:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"60474";27/1/2020 11:54:27;17/9/2019 00:00:00;83.00;7.80;823.00;579.00;21.00;23.00;120.00;94.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D701C30C74B74BD5]";"16/09/2020 11:22:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"54587";5/2/2019 16:07:11;27/5/2020 00:00:00;83.00;7.80;819.00;576.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D7D08C859E49AF49]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55287";29/4/2019 16:23:22;19/8/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D7D0D921B57EEBDA]";"24/08/2021 09:45:00";"News Rouge";"News Rouge";"filtre";40.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"63950";17/12/2019 13:50:55;16/1/2021 00:00:00;83.00;7.80;811.00;584.00;21.00;25.00;99.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D824F195A6816580]";"27/08/2020 12:03:00";"News Rouge";"News Rouge";"filtre";30.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55286";13/5/2019 12:12:23;13/6/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D854F52768878DDE]";"24/08/2021 12:05:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55287";18/11/2019 16:33:13;7/10/2020 00:00:00;83.00;7.80;804.00;568.00;21.00;33.00;117.00;86.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D85C69A6E68F2695]";"25/03/2021 14:35:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55448";19/11/2016 16:06:10;20/5/2016 00:00:00;83.00;7.80;836.00;596.00;21.00;22.00;106.00;87.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D86F3761DE2764AC]";"28/08/2020 15:38:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"55287";29/4/2019 16:23:22;21/4/2020 00:00:00;83.00;7.80;818.00;578.00;21.00;23.00;101.00;75.00;10.00;0.80;10.00
"FR";"Produit du tabac";"Cigarette";"NEWS ROUGE [D8820D20601AE854]";"24/08/2021 16:01:00";"News Rouge";"News Rouge";"filtre";20.00;"Boîte à couvercle supérieur rabattable, bord droit";"SKU";"60474";22/7/2019 16:26:39;12/2/2021 00:00:00;83.00;7.80;798.00;577.00;21.00;24.00;101.00;75.00;10.00;0.80;10.00
